condition,seed,target,distance
random_search,40,target_03,17.0
random_search,40,target_04,16.5
random_search,41,target_00,16.5
random_search,41,target_01,16.5
random_search,41,target_02,16.5
random_search,41,target_03,16.0
random_search,41,target_04,16.5
random_search,42,target_00,16.5
random_search,42,target_01,16.5
random_search,42,target_02,16.0
random_search,42,target_03,15.5
random_search,42,target_04,16.0
random_search,43,target_00,15.0
random_search,43,target_01,16.5
random_search,43,target_02,16.5
random_search,43,target_03,16.0
random_search,43,target_04,17.5
random_search,44,target_00,16.5
random_search,44,target_01,14.5
random_search,44,target_02,16.5
random_search,44,target_03,16.5
random_search,44,target_04,15.5
random_search,45,target_00,17.5
random_search,45,target_01,16.5
random_search,45,target_02,16.0
random_search,45,target_03,16.0
random_search,45,target_04,15.5
random_search,46,target_00,17.0
random_search,46,target_01,14.5
random_search,46,target_02,16.0
random_search,46,target_03,16.0
random_search,46,target_04,16.0
random_search,47,target_00,16.5
random_search,47,target_01,13.0
random_search,47,target_02,14.0
random_search,47,target_03,17.0
random_search,47,target_04,16.5
random_search,48,target_00,17.0
random_search,48,target_01,15.0
random_search,48,target_02,15.5
random_search,48,target_03,16.0
random_search,48,target_04,16.0
random_search,49,target_00,17.0
random_search,49,target_01,16.5
random_search,49,target_02,16.0
random_search,49,target_03,16.5
random_search,49,target_04,16.5
